,uid,topology,topology-uid,iteration,nodes,rank,service,message_size_bytes,message_size_mb,time_ms,time_seconds,hops
209,flux-ping-kvs-size-200-rank-28,kary-2,kary-2-30,0,30,28,kvs,209715200,200,16815.861,16.815861,8
210,flux-ping-broker-size-200-rank-0,kary-8,kary-8-30,0,30,0,broker,209715200,200,8889.258,8.889258,3
211,flux-ping-kvs-size-200-rank-0,kary-8,kary-8-30,0,30,0,kvs,209715200,200,8903.589,8.903589,4
212,flux-ping-broker-size-200-rank-2,kary-8,kary-8-30,0,30,2,broker,209715200,200,10924.864,10.924864,4
213,flux-ping-kvs-size-200-rank-2,kary-8,kary-8-30,0,30,2,kvs,209715200,200,10944.157,10.944156999999999,5
214,flux-ping-broker-size-200-rank-4,kary-8,kary-8-30,0,30,4,broker,209715200,200,10826.895,10.826895,4
215,flux-ping-kvs-size-200-rank-4,kary-8,kary-8-30,0,30,4,kvs,209715200,200,10792.773,10.792772999999999,5
216,flux-ping-broker-size-200-rank-6,kary-8,kary-8-30,0,30,6,broker,209715200,200,10807.554,10.807554,4
217,flux-ping-kvs-size-200-rank-6,kary-8,kary-8-30,0,30,6,kvs,209715200,200,10814.086,10.814086,5
218,flux-ping-broker-size-200-rank-8,kary-8,kary-8-30,0,30,8,broker,209715200,200,10831.385,10.831385000000001,4
219,flux-ping-kvs-size-200-rank-8,kary-8,kary-8-30,0,30,8,kvs,209715200,200,10838.443,10.838443,5
220,flux-ping-broker-size-200-rank-10,kary-8,kary-8-30,0,30,10,broker,209715200,200,12807.712,12.807711999999999,5
221,flux-ping-kvs-size-200-rank-10,kary-8,kary-8-30,0,30,10,kvs,209715200,200,12797.788,12.797788,6
222,flux-ping-broker-size-200-rank-12,kary-8,kary-8-30,0,30,12,broker,209715200,200,12932.96,12.93296,5
223,flux-ping-kvs-size-200-rank-12,kary-8,kary-8-30,0,30,12,kvs,209715200,200,13240.628,13.240628000000001,6
224,flux-ping-broker-size-200-rank-14,kary-8,kary-8-30,0,30,14,broker,209715200,200,12821.307,12.821307000000001,5
225,flux-ping-kvs-size-200-rank-14,kary-8,kary-8-30,0,30,14,kvs,209715200,200,12794.189,12.794189000000001,6
