,uid,topology,iteration,nodes,event,size_gb,time_seconds
246,binomial-6,binomial,4,6,delete-archive-middle-nodes,1,0.024
247,binomial-6,binomial,4,6,create-archive,2,6.374
248,binomial-6,binomial,4,6,distribute-all-nodes,2,6.059
249,binomial-6,binomial,4,6,clean-all-nodes,2,0.41
250,binomial-6,binomial,4,6,delete-archive-all-nodes,2,0.022
251,binomial-6,binomial,4,6,create-leaf-nodes,2,5.872
252,binomial-6,binomial,4,6,distribute-leaf-nodes,2,3.8
253,binomial-6,binomial,4,6,clean-leaf-nodes,2,0.413
254,binomial-6,binomial,4,6,delete-archive-leaf-nodes,2,0.022
255,binomial-6,binomial,4,6,create-middle-nodes,2,6.01
256,binomial-6,binomial,4,6,distribute-middle-nodes-0,2,4.386
257,binomial-6,binomial,4,6,distribute-middle-nodes-1,2,3.74
258,binomial-6,binomial,4,6,clean-middle-nodes,2,0.437
259,binomial-6,binomial,4,6,delete-archive-middle-nodes,2,0.023
260,kary-2-6,kary-2,3,6,create-archive,1,3.035
261,kary-2-6,kary-2,3,6,distribute-all-nodes,1,3.149
262,kary-2-6,kary-2,3,6,clean-all-nodes,1,0.222
263,kary-2-6,kary-2,3,6,delete-archive-all-nodes,1,0.02
264,kary-2-6,kary-2,3,6,create-leaf-nodes,1,3.334
265,kary-2-6,kary-2,3,6,distribute-leaf-nodes,1,2.418
266,kary-2-6,kary-2,3,6,clean-leaf-nodes,1,0.231
267,kary-2-6,kary-2,3,6,delete-archive-leaf-nodes,1,0.02
268,kary-2-6,kary-2,3,6,create-middle-nodes,1,2.909
269,kary-2-6,kary-2,3,6,distribute-middle-nodes-0,1,1.845
270,kary-2-6,kary-2,3,6,distribute-middle-nodes-1,1,2.095
271,kary-2-6,kary-2,3,6,clean-middle-nodes,1,0.234
272,kary-2-6,kary-2,3,6,delete-archive-middle-nodes,1,0.02
273,kary-2-6,kary-2,3,6,create-archive,2,5.855
274,kary-2-6,kary-2,3,6,distribute-all-nodes,2,5.773
275,kary-2-6,kary-2,3,6,clean-all-nodes,2,0.394
276,kary-2-6,kary-2,3,6,delete-archive-all-nodes,2,0.025
